2016年 05月 26日 星期四 12:02:55 CST
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00355            702.023
           0        tcp     0     1         3.00676            702.252
           0        tcp     0     1         4.00737            695.902
           0        tcp     0     1         5.01085            706.145
           0        tcp     0     1         6.01409            698.156
           0        tcp     0     1          7.0143            700.271
           0        tcp     0     1         8.01555            707.718
           0        tcp     0     1         9.01724            695.146
           0        tcp     0     1         10.0188            711.604
           0        tcp     0     1         11.0211            706.994
           0        tcp     0     1         12.0254            697.367
           0        tcp     0     1         13.0293            689.549
           0        tcp     0     1         14.0322            702.496
           0        tcp     0     1         15.0343            707.096
           0        tcp     0     1         16.0372            702.521
           0        tcp     0     1         17.0409            705.955
           0        tcp     0     1         18.0435            698.625
           0        tcp     0     1         19.0483             697.08
           0        tcp     0     1         20.0494            691.447
           0        tcp     0     1         21.0521            690.386
           0        tcp     0     1         22.0556            693.896
           0        tcp     0     1         23.0593            705.948
           0        tcp     0     1         24.0602            703.922
           0        tcp     0     1         25.0643            705.698
           0        tcp     0     1         26.0685            701.537
           0        tcp     0     1         27.0723            701.863
           0        tcp     0     1         28.0779            696.499
           0        tcp     0     1         29.0803            686.503
           0        tcp     0     1         30.0821            703.252
           0        tcp     0     1         31.0834            703.591
           0        tcp     0     1         32.0838            704.239
           0        tcp     0     1          33.085            699.553
           0        tcp     0     1         34.0856            708.201
           0        tcp     0     1         35.0859                692
           0        tcp     0     1         36.0886             706.74
           0        tcp     0     1           37.09            707.573
           0        tcp     0     1         38.0913            699.544
           0        tcp     0     1         39.0922             695.65
           0        tcp     0     1         40.0963            705.721
           0        tcp     0     1         41.0997            689.897
           0        tcp     0     1         42.1024            702.611
           0        tcp     0     1         43.1036            703.644
           0        tcp     0     1         44.1041             708.29
           0        tcp     0     1         45.1144            705.404
           0        tcp     0     1         46.1163            707.296
           0        tcp     0     1         47.1193            702.369
           0        tcp     0     1         48.1204            707.865
           0        tcp     0     1         49.1211             703.98
           0        tcp     0     1         50.1267            696.522
           0        tcp     0     1         51.1341            703.421
           0        tcp     0     1         52.1362            703.002
           0        tcp     0     1         53.1405            685.218
           0        tcp     0     1         54.1447            701.576
           0        tcp     0     1         55.1505            692.303
           0        tcp     0     1         56.1563            704.493
           0        tcp     0     1         57.1573            707.886
           0        tcp     0     1         58.1607            706.236
           0        tcp     0     1         59.1614            708.095
           0        tcp     0     1         60.1624            711.996
           0        tcp     0     1         61.1659            702.071
           0        tcp     0     1         62.1667             708.06
           0        tcp     0     1           63.17            702.146
           0        tcp     0     1          64.173            690.187
           0        tcp     0     1          65.178            709.161
           0        tcp     0     1         66.1788            699.814
           0        tcp     0     1         67.1838            688.834
           0        tcp     0     1         68.1892            700.704
           0        tcp     0     1         69.1919            706.695
           0        tcp     0     1         70.1938            699.102
           0        tcp     0     1         71.2004            683.603
           0        tcp     0     1         72.2041            701.928
           0        tcp     0     1         73.2072            710.496
           0        tcp     0     1         74.2115            705.573
           0        tcp     0     1         75.2157            685.221
           0        tcp     0     1         76.2182            706.887
           0        tcp     0     1         77.2219            701.897
           0        tcp     0     1          78.223            703.714
           0        tcp     0     1         79.2262            706.381
           0        tcp     0     1          80.228            711.417
           0        tcp     0     1         81.2333            713.015
           0        tcp     0     1         82.2372            705.844
           0        tcp     0     1         83.2419            701.208
           0        tcp     0     1         84.2453            702.117
           0        tcp     0     1         85.2503            701.026
           0        tcp     0     1          86.251            699.953
           0        tcp     0     1         87.2514            704.192
           0        tcp     0     1         88.2548            698.053
           0        tcp     0     1         89.2596            701.139
           0        tcp     0     1         90.2645            717.383
           0        tcp     0     1         91.2675            710.612
           0        tcp     0     1         92.2745            699.598
           0        tcp     0     1          93.281            708.106
           0        tcp     0     1         94.2834            694.634
           0        tcp     0     1         95.2918            706.796
           0        tcp     0     1         96.2936            703.204
           0        tcp     0     1         97.2959            694.727
           0        tcp     0     1         98.3006            705.282
           0        tcp     0     1         99.3056            705.087
           0        tcp     0     1         100.309            702.401
           0        tcp     0     1         101.311            710.977
           0        tcp     0     1         102.312            704.133
           0        tcp     0     1         103.312            708.037
           0        tcp     0     1         104.316            698.006
           0        tcp     0     1         105.317             699.94
           0        tcp     0     1          106.32            694.231
           0        tcp     0     1         107.323             702.18
           0        tcp     0     1         108.326            706.656
           0        tcp     0     1         109.329            689.804
           0        tcp     0     1         110.334            693.212
           0        tcp     0     1         111.335            703.706
           0        tcp     0     1         112.336            699.533
           0        tcp     0     1          113.34            705.885
           0        tcp     0     1         114.343            698.204
           0        tcp     0     1         115.345            694.711
           0        tcp     0     1         116.346            704.204
           0        tcp     0     1         117.349            706.374
           0        tcp     0     1          118.35            687.632
           0        tcp     0     1         119.354            689.134
           0        tcp     0     1         120.358            705.958
           0        tcp     0     1          121.36            703.303
           0        tcp     0     1         122.363            706.059
           0        tcp     0     1         123.364            691.687
           0        tcp     0     1         124.368            705.623
           0        tcp     0     1         125.373            700.949
           0        tcp     0     1         126.378            709.371
           0        tcp     0     1          127.38             706.92
           0        tcp     0     1         128.384            705.864
           0        tcp     0     1          129.39            700.657
           0        tcp     0     1         130.392            702.884
           0        tcp     0     1         131.392            708.591
           0        tcp     0     1         132.397            705.492
           0        tcp     0     1         133.399            698.547
           0        tcp     0     1         134.402            690.043
           0        tcp     0     1         135.405            707.079
           0        tcp     0     1         136.407            694.926
           0        tcp     0     1         137.409            706.938
           0        tcp     0     1          138.41            711.725
           0        tcp     0     1         139.417            704.122
           0        tcp     0     1         140.419            703.027
           0        tcp     0     1         141.419             699.97
           0        tcp     0     1         142.422            707.128
           0        tcp     0     1         143.425            710.606
           0        tcp     0     1         144.427            702.841
           0        tcp     0     1         145.427            704.119
           0        tcp     0     1         146.432             697.37
           0        tcp     0     1         147.436            705.766
           0        tcp     0     1         148.441            700.981
           0        tcp     0     1         149.443            715.181
           0        tcp     0     1         150.444             711.76
           0        tcp     0     1         151.447            703.043
           0        tcp     0     1         152.449            714.965
           0        tcp     0     1          153.45            707.826
           0        tcp     0     1         154.451            700.186
           0        tcp     0     1         155.452            707.435
           0        tcp     0     1         156.452            708.435
           0        tcp     0     1         157.457            709.569
           0        tcp     0     1         158.461            701.346
           0        tcp     0     1         159.464            702.733
           0        tcp     0     1          160.47            708.552
           0        tcp     0     1         161.473            702.224
           0        tcp     0     1         162.479            704.331
           0        tcp     0     1          163.48            712.245
           0        tcp     0     1         164.482             707.17
           0        tcp     0     1         165.486            705.948
           0        tcp     0     1         166.489            693.961
           0        tcp     0     1         167.494            684.788
           0        tcp     0     1         168.495            711.639
           0        tcp     0     1         169.496            696.061
           0        tcp     0     1           170.5            705.846
           0        tcp     0     1         171.501            699.326
           0        tcp     0     1         172.508            704.069
           0        tcp     0     1         173.511            710.355
