Thu Oct  6 14:30:12 CST 2016
SIMULATION DURATION: 300.0S, AODV+TCP

--- Hop Node Number:2 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     1         2.00295            739.194
           0        tcp     0     1         3.00447            719.804
           0        tcp     0     1         4.00471             720.72
           0        tcp     0     1         5.00839             734.58
           0        tcp     0     1         6.01209            742.721
           0        tcp     0     1         7.01667            717.614
           0        tcp     0     1         8.01722            732.779
           0        tcp     0     1         9.01945            731.554
           0        tcp     0     1         10.0281            735.016
           0        tcp     0     1         11.0299            719.613
           0        tcp     0     1         12.0321            735.628
           0        tcp     0     1         13.0323            728.971
           0        tcp     0     1         14.0367            705.513
           0        tcp     0     1         15.0454             743.08
           0        tcp     0     1         16.0455            720.816
           0        tcp     0     1          17.049            734.752
           0        tcp     0     1         18.0534            734.002
           0        tcp     0     1          19.055             719.73
           0        tcp     0     1         20.0618            711.988
           0        tcp     0     1         21.0663             729.87
           0        tcp     0     1         22.0676            715.917
           0        tcp     0     1         23.0697            748.002
           0        tcp     0     1         24.0715            715.469
           0        tcp     0     1         25.0716            716.751
           0        tcp     0     1         26.0733            744.184
           0        tcp     0     1         27.0743            724.258
           0        tcp     0     1          28.076            719.731
           0        tcp     0     1         29.0803            730.035
           0        tcp     0     1         30.0831            739.254
           0        tcp     0     1         31.0838            712.218
           0        tcp     0     1          32.084            737.177
           0        tcp     0     1          33.088            717.968
           0        tcp     0     1         34.0925            733.989
           0        tcp     0     1         35.0946            739.864
           0        tcp     0     1         36.1001            729.131
           0        tcp     0     1         37.1034             726.68
           0        tcp     0     1         38.1053            731.796
           0        tcp     0     1         39.1069             727.99
           0        tcp     0     1         40.1101            734.903
           0        tcp     0     1         41.1163            724.617
           0        tcp     0     1         42.1223              724.7
           0        tcp     0     1         43.1255            726.787
           0        tcp     0     1         44.1281            731.285
           0        tcp     0     1         45.1323            726.018
           0        tcp     0     1         46.1386             736.76
           0        tcp     0     1         47.1401            744.356
           0        tcp     0     1         48.1432            730.922
           0        tcp     0     1         49.1462            726.886
           0        tcp     0     1         50.1532            724.016
           0        tcp     0     1         51.1596            748.854
           0        tcp     0     1         52.1648            725.352
           0        tcp     0     1         53.1679            718.624
           0        tcp     0     1         54.1746            736.499
           0        tcp     0     1          55.178            726.605
           0        tcp     0     1         56.1806             731.26
           0        tcp     0     1         57.1828             731.61
           0        tcp     0     1         58.1909             723.19
           0        tcp     0     1         59.1926             731.94
           0        tcp     0     1         60.1933            716.295
           0        tcp     0     1          61.195            723.785
           0        tcp     0     1         62.1997            746.053
           0        tcp     0     1         63.2028            710.464
           0        tcp     0     1         64.2032            720.674
           0        tcp     0     1         65.2035            712.485
           0        tcp     0     1          66.206              743.6
           0        tcp     0     1         67.2095              738.8
           0        tcp     0     1         68.2162            707.963
           0        tcp     0     1         69.2166            736.934
           0        tcp     0     1         70.2176            732.466
           0        tcp     0     1         71.2203            727.168
           0        tcp     0     1         72.2203            704.502
           0        tcp     0     1         73.2232            743.261
           0        tcp     0     1         74.2248            727.984
           0        tcp     0     1         75.2304            720.944
           0        tcp     0     1         76.2351            750.149
           0        tcp     0     1         77.2358            728.526
           0        tcp     0     1         78.2392            710.331
           0        tcp     0     1         79.2413            747.987
           0        tcp     0     1         80.2443            735.093
           0        tcp     0     1         81.2466            715.129
           0        tcp     0     1         82.2521            729.161
           0        tcp     0     1         83.2545            715.088
           0        tcp     0     1          84.256             723.88
           0        tcp     0     1         85.2594            747.092
           0        tcp     0     1          86.264            721.669
           0        tcp     0     1         87.2656            711.564
           0        tcp     0     1         88.2709            741.498
           0        tcp     0     1         89.2724            728.024
           0        tcp     0     1         90.2781             720.85
           0        tcp     0     1         91.2825             734.11
           0        tcp     0     1         92.2826            729.017
           0        tcp     0     1         93.2841            715.712
           0        tcp     0     1          94.286            739.976
           0        tcp     0     1         95.2887             723.03
           0        tcp     0     1         96.2899            732.271
           0        tcp     0     1         97.2978            719.333
           0        tcp     0     1         98.2983            732.839
           0        tcp     0     1         99.3036            733.389



--- Hop Node Number:3 ---
#       flow   flowType   src   dst            time         throughput

           0        tcp     0     2         2.01329            359.764
           0        tcp     0     2         3.01912            358.358
           0        tcp     0     2         4.02688            377.994
           0        tcp     0     2          5.0349             365.71
           0        tcp     0     2         6.03544            364.347
           0        tcp     0     2         7.03666            360.007
